device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 30000 of 84500 pairs per epoch (10.7 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6_last.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 8e-05, epoch counter from 0)
resumed from weights/driftsense_p6_last.pt (epoch 0, best 0.299px)
  e4 [1350/1875] loss 0.338 focal 0.241 off 0.0965 | batch median err 1.5px | 76.2 img/s | lr 8.00e-05
  e4 [1400/1875] loss 0.338 focal 0.241 off 0.0965 | batch median err 2.0px | 76.2 img/s | lr 8.00e-05
  e4 [1450/1875] loss 0.338 focal 0.242 off 0.0964 | batch median err 1.4px | 76.2 img/s | lr 8.00e-05
  e4 [1500/1875] loss 0.338 focal 0.242 off 0.0964 | batch median err 1.1px | 76.2 img/s | lr 8.00e-05
  e4 [1550/1875] loss 0.338 focal 0.242 off 0.0965 | batch median err 1.0px | 76.2 img/s | lr 8.00e-05
  e4 [1600/1875] loss 0.339 focal 0.243 off 0.0965 | batch median err 1.1px | 76.2 img/s | lr 8.00e-05
  e4 [1650/1875] loss 0.339 focal 0.243 off 0.0965 | batch median err 2.0px | 76.2 img/s | lr 8.00e-05
  e4 [1700/1875] loss 0.340 focal 0.243 off 0.0972 | batch median err 1.5px | 76.2 img/s | lr 7.99e-05
  e4 [1750/1875] loss 0.341 focal 0.243 off 0.0972 | batch median err 3.1px | 76.2 img/s | lr 7.99e-05
  e4 [1800/1875] loss 0.342 focal 0.244 off 0.0973 | batch median err 1.8px | 76.2 img/s | lr 7.99e-05
  e4 [1850/1875] loss 0.341 focal 0.244 off 0.0975 | batch median err 1.1px | 76.2 img/s | lr 7.99e-05
epoch 4: loss 0.3413 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 6.7 min
  e5 [50/1875] loss 0.347 focal 0.251 off 0.0957 | batch median err 0.8px | 72.3 img/s | lr 7.99e-05
  e5 [100/1875] loss 0.333 focal 0.237 off 0.0955 | batch median err 2.0px | 74.3 img/s | lr 7.99e-05
  e5 [150/1875] loss 0.333 focal 0.236 off 0.0976 | batch median err 11.1px | 75.0 img/s | lr 7.99e-05
  e5 [200/1875] loss 0.329 focal 0.232 off 0.0966 | batch median err 1.0px | 75.3 img/s | lr 7.99e-05
  e5 [250/1875] loss 0.331 focal 0.234 off 0.0972 | batch median err 1.6px | 75.5 img/s | lr 7.99e-05
  e5 [300/1875] loss 0.333 focal 0.237 off 0.0968 | batch median err 1.3px | 75.7 img/s | lr 7.99e-05
  e5 [350/1875] loss 0.331 focal 0.235 off 0.0964 | batch median err 1.4px | 75.8 img/s | lr 7.99e-05
  e5 [400/1875] loss 0.332 focal 0.235 off 0.0969 | batch median err 1.2px | 75.8 img/s | lr 7.98e-05
  e5 [450/1875] loss 0.330 focal 0.233 off 0.0970 | batch median err 1.4px | 75.9 img/s | lr 7.98e-05
  e5 [500/1875] loss 0.332 focal 0.236 off 0.0968 | batch median err 0.9px | 75.9 img/s | lr 7.98e-05
  e5 [550/1875] loss 0.331 focal 0.234 off 0.0966 | batch median err 1.1px | 76.0 img/s | lr 7.98e-05
  e5 [600/1875] loss 0.332 focal 0.235 off 0.0967 | batch median err 1.3px | 76.0 img/s | lr 7.98e-05
  e5 [650/1875] loss 0.332 focal 0.236 off 0.0967 | batch median err 2.6px | 76.1 img/s | lr 7.98e-05
  e5 [700/1875] loss 0.331 focal 0.234 off 0.0966 | batch median err 1.3px | 76.1 img/s | lr 7.98e-05
  e5 [750/1875] loss 0.335 focal 0.238 off 0.0969 | batch median err 2.3px | 76.1 img/s | lr 7.98e-05
  e5 [800/1875] loss 0.336 focal 0.239 off 0.0969 | batch median err 1.2px | 76.1 img/s | lr 7.97e-05
  e5 [850/1875] loss 0.337 focal 0.240 off 0.0966 | batch median err 1.2px | 76.1 img/s | lr 7.97e-05
  e5 [900/1875] loss 0.336 focal 0.240 off 0.0967 | batch median err 1.6px | 76.2 img/s | lr 7.97e-05
  e5 [950/1875] loss 0.336 focal 0.239 off 0.0964 | batch median err 1.1px | 76.2 img/s | lr 7.97e-05
