device: cuda   amp: bf16
train pairs: 84500 from 169 split(s)   crop: 512
val scenes: 200
sampling 20000 of 84500 pairs per epoch (7.1 passes over the pool)
parameters: 0.46M
fine-tuning from weights/driftsense_p6.pt: weights only (fresh optimizer, fresh one-cycle at max_lr 0.0001, epoch counter from 0)
resumed from weights/driftsense_p6.pt (epoch 0, best 0.299px)
  e6 [250/1250] loss 0.408 focal 0.295 off 0.1122 | batch median err 1.5px | 75.7 img/s | lr 9.89e-05
  e6 [300/1250] loss 0.405 focal 0.293 off 0.1118 | batch median err 1.4px | 75.8 img/s | lr 9.89e-05
  e6 [350/1250] loss 0.407 focal 0.296 off 0.1109 | batch median err 1.6px | 75.9 img/s | lr 9.88e-05
  e6 [400/1250] loss 0.404 focal 0.294 off 0.1105 | batch median err 1.3px | 76.0 img/s | lr 9.87e-05
  e6 [450/1250] loss 0.403 focal 0.293 off 0.1099 | batch median err 1.8px | 76.0 img/s | lr 9.87e-05
  e6 [500/1250] loss 0.400 focal 0.290 off 0.1095 | batch median err 1.1px | 76.1 img/s | lr 9.86e-05
  e6 [550/1250] loss 0.399 focal 0.290 off 0.1092 | batch median err 2.3px | 76.1 img/s | lr 9.86e-05
  e6 [600/1250] loss 0.401 focal 0.292 off 0.1094 | batch median err 1.7px | 76.1 img/s | lr 9.85e-05
  e6 [650/1250] loss 0.403 focal 0.293 off 0.1103 | batch median err 1.5px | 76.2 img/s | lr 9.85e-05
  e6 [700/1250] loss 0.403 focal 0.292 off 0.1106 | batch median err 3.4px | 76.2 img/s | lr 9.84e-05
  e6 [750/1250] loss 0.404 focal 0.294 off 0.1106 | batch median err 10.2px | 76.2 img/s | lr 9.83e-05
  e6 [800/1250] loss 0.406 focal 0.295 off 0.1109 | batch median err 1.0px | 76.2 img/s | lr 9.83e-05
  e6 [850/1250] loss 0.407 focal 0.296 off 0.1110 | batch median err 1.0px | 76.2 img/s | lr 9.82e-05
  e6 [900/1250] loss 0.407 focal 0.297 off 0.1107 | batch median err 1.7px | 76.2 img/s | lr 9.81e-05
  e6 [950/1250] loss 0.406 focal 0.296 off 0.1102 | batch median err 1.3px | 76.2 img/s | lr 9.81e-05
  e6 [1000/1250] loss 0.405 focal 0.295 off 0.1102 | batch median err 1.4px | 76.2 img/s | lr 9.80e-05
  e6 [1050/1250] loss 0.405 focal 0.295 off 0.1097 | batch median err 1.1px | 76.3 img/s | lr 9.79e-05
  e6 [1100/1250] loss 0.404 focal 0.294 off 0.1094 | batch median err 1.8px | 76.3 img/s | lr 9.79e-05
  e6 [1150/1250] loss 0.404 focal 0.295 off 0.1093 | batch median err 1.5px | 76.3 img/s | lr 9.78e-05
  e6 [1200/1250] loss 0.403 focal 0.294 off 0.1089 | batch median err 1.6px | 76.3 img/s | lr 9.77e-05
  e6 [1250/1250] loss 0.403 focal 0.294 off 0.1086 | batch median err 1.8px | 76.3 img/s | lr 9.76e-05
epoch 6: loss 0.4029 | val median 0.30px  acc@1 0.750  acc@2 1.000  acc@5 1.000  acc@10 1.000 | 4.5 min
  e7 [50/1250] loss 0.402 focal 0.298 off 0.1047 | batch median err 1.2px | 71.9 img/s | lr 9.76e-05
  e7 [100/1250] loss 0.407 focal 0.303 off 0.1040 | batch median err 0.7px | 74.1 img/s | lr 9.75e-05
  e7 [150/1250] loss 0.416 focal 0.311 off 0.1055 | batch median err 1.5px | 74.9 img/s | lr 9.74e-05
  e7 [200/1250] loss 0.419 focal 0.313 off 0.1056 | batch median err 1.5px | 75.3 img/s | lr 9.73e-05
  e7 [250/1250] loss 0.420 focal 0.314 off 0.1066 | batch median err 1.6px | 75.5 img/s | lr 9.73e-05
  e7 [300/1250] loss 0.416 focal 0.309 off 0.1070 | batch median err 1.4px | 75.7 img/s | lr 9.72e-05
  e7 [350/1250] loss 0.415 focal 0.308 off 0.1071 | batch median err 1.0px | 75.8 img/s | lr 9.71e-05
